Source [urn:wisebed:uzl1:0x2024], Text [*Boot*0x2024], Level [DEBUG], Time [2011-11-01T14:50:58.320+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.321+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [*Boot*0x200c], Level [DEBUG], Time [2011-11-01T14:50:58.338+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.339+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.500+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:210:1141], Level [DEBUG], Time [2011-11-01T14:50:58.501+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:211:27], Level [DEBUG], Time [2011-11-01T14:50:58.501+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [*Boot*0x2014], Level [DEBUG], Time [2011-11-01T14:50:58.361+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.362+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.362+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [*Boot*0x2030], Level [DEBUG], Time [2011-11-01T14:50:58.419+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.419+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.420+01:00]
Source [urn:wisebed:uzl1:0x2021], Text [*Boot*0x2021], Level [DEBUG], Time [2011-11-01T14:50:58.424+01:00]
Source [urn:wisebed:uzl1:0x2021], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.425+01:00]
Source [urn:wisebed:uzl1:0x2021], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.425+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.600+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [Sread:210:188], Level [DEBUG], Time [2011-11-01T14:50:58.600+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [Sread:211:28], Level [DEBUG], Time [2011-11-01T14:50:58.600+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.461+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [Sread:210:147], Level [DEBUG], Time [2011-11-01T14:50:58.461+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [Sread:211:30], Level [DEBUG], Time [2011-11-01T14:50:58.461+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [*Boot*0x2000], Level [DEBUG], Time [2011-11-01T14:50:58.484+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.485+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.485+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [*Boot*0x2034], Level [DEBUG], Time [2011-11-01T14:50:59.266+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:59.267+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:59.267+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.385+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [Sread:210:20], Level [DEBUG], Time [2011-11-01T14:50:58.385+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [Sread:211:28], Level [DEBUG], Time [2011-11-01T14:50:58.385+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.598+01:00]
Source [urn:wisebed:uzl1:0x200d], Text [*Boot*0x200d], Level [DEBUG], Time [2011-11-01T14:50:58.622+01:00]
Source [urn:wisebed:uzl1:0x200d], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.622+01:00]
Source [urn:wisebed:uzl1:0x2018], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.072+01:00]
Source [urn:wisebed:uzl1:0x2009], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.741+01:00]
Source [urn:wisebed:uzl1:0x203c], Text [*Boot*0x203c], Level [DEBUG], Time [2011-11-01T14:50:54.073+01:00]
Source [urn:wisebed:uzl1:0x203c], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:54.073+01:00]
Source [urn:wisebed:uzl1:0x203c], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:54.073+01:00]
Source [urn:wisebed:uzl1:0x2035], Text [*Boot*0x2035], Level [DEBUG], Time [2011-11-01T14:50:59.590+01:00]
Source [urn:wisebed:uzl1:0x2035], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:59.590+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [NB;0x202d;0x2028], Level [DEBUG], Time [2011-11-01T14:50:58.906+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.015+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [Sread:210:26], Level [DEBUG], Time [2011-11-01T14:50:59.015+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [Sread:211:30], Level [DEBUG], Time [2011-11-01T14:50:59.015+01:00]
Source [urn:wisebed:uzl1:0x2025], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.019+01:00]
Source [urn:wisebed:uzl1:0x203d], Text [*Boot*0x203d], Level [DEBUG], Time [2011-11-01T14:50:54.234+01:00]
Source [urn:wisebed:uzl1:0x203d], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:54.235+01:00]
Source [urn:wisebed:uzl1:0x2020], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:59.295+01:00]
Source [urn:wisebed:uzl1:0x2020], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:59.295+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.321+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [Sread:210:285], Level [DEBUG], Time [2011-11-01T14:50:59.322+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [Sread:211:26], Level [DEBUG], Time [2011-11-01T14:50:59.322+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.340+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [Sread:210:60], Level [DEBUG], Time [2011-11-01T14:50:59.340+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [Sread:211:30], Level [DEBUG], Time [2011-11-01T14:50:59.340+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.363+01:00]
Source [urn:wisebed:uzl1:0x2015], Text [*Boot*0x2015], Level [DEBUG], Time [2011-11-01T14:50:59.385+01:00]
Source [urn:wisebed:uzl1:0x2015], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:59.385+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.421+01:00]
Source [urn:wisebed:uzl1:0x2021], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.426+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.487+01:00]
Source [urn:wisebed:uzl1:0x2001], Text [*Boot*0x2001], Level [DEBUG], Time [2011-11-01T14:50:59.553+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:51:00.268+01:00]
Source [urn:wisebed:uzl1:0x2001], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:59.553+01:00]
Source [urn:wisebed:uzl1:0x2001], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:59.554+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [NB;0x2039;0x2038], Level [DEBUG], Time [2011-11-01T14:50:59.603+01:00]
Source [urn:wisebed:uzl1:0x200d], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:59.623+01:00]
Source [urn:wisebed:uzl1:0x200d], Text [Sread:210:2], Level [DEBUG], Time [2011-11-01T14:50:59.623+01:00]
Source [urn:wisebed:uzl1:0x200d], Text [Sread:211:35], Level [DEBUG], Time [2011-11-01T14:50:59.624+01:00]
