Source [urn:wisebed:unigetestbed:0x96fc], Text [Clusters::0x96fc::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.293+01:00]
Source [urn:wisebed:unigetestbed:0x9a0c], Text [Clusters::0x9a0c::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.383+01:00]
Source [urn:wisebed:unigetestbed:0x96e5], Text [Clusters::0x96e5::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.295+01:00]
Source [urn:wisebed:unigetestbed:0x96e0], Text [Clusters::0x96e0::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.418+01:00]
Source [urn:wisebed:unigetestbed:0x9731], Text [Clusters::0x9731::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.264+01:00]
Source [urn:wisebed:unigetestbed:0x9a0d], Text [Clusters::0x9a0d::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.386+01:00]
Source [urn:wisebed:unigetestbed:0x9708], Text [Clusters::0x9708::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.420+01:00]
Source [urn:wisebed:unigetestbed:0x1520], Text [Clusters::0x1520::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.298+01:00]
Source [urn:wisebed:unigetestbed:0x9710], Text [Clusters::0x9710::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.299+01:00]
Source [urn:wisebed:unigetestbed:0x1be5], Text [Clusters::0x1be5::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.389+01:00]
Source [urn:wisebed:unigetestbed:0x1b95], Text [Clusters::0x1b95::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.268+01:00]
Source [urn:wisebed:unigetestbed:0x15e0], Text [Clusters::0x15e0::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.300+01:00]
Source [urn:wisebed:unigetestbed:0x1cb9], Text [Clusters::0x1cb9::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.423+01:00]
Source [urn:wisebed:unigetestbed:0x1b99], Text [Clusters::0x1b99::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.391+01:00]
Source [urn:wisebed:unigetestbed:0x99ad], Text [Clusters::0x99ad::0::0xffffffff::0::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:13.303+01:00]
Source [urn:wisebed:unigetestbed:0x1b3b], Text [Send::0x1b3b::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.291+01:00]
Source [urn:wisebed:unigetestbed:0x9731], Text [Send::0x9731::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.277+01:00]
Source [urn:wisebed:unigetestbed:0x9a0d], Text [Send::0x9a0d::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.399+01:00]
Source [urn:wisebed:unigetestbed:0x99ad], Text [Send::0x99ad::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.316+01:00]
Source [urn:wisebed:unigetestbed:0x1b4c], Text [Send::0x1b4c::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.449+01:00]
Source [urn:wisebed:unigetestbed:0x1725], Text [Send::0x1725::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.310+01:00]
Source [urn:wisebed:unigetestbed:0x1b99], Text [Send::0x1b99::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.453+01:00]
Source [urn:wisebed:unigetestbed:0x1be5], Text [Send::0x1be5::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.455+01:00]
Source [urn:wisebed:unigetestbed:0x96e0], Text [Send::0x96e0::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.506+01:00]
Source [urn:wisebed:unigetestbed:0x9710], Text [Send::0x9710::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.387+01:00]
Source [urn:wisebed:unigetestbed:0x1b7f], Text [Send::0x1b7f::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.393+01:00]
Source [urn:wisebed:unigetestbed:0x15d3], Text [Send::0x15d3::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.363+01:00]
Source [urn:wisebed:unigetestbed:0x999d], Text [Send::0x999d::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.406+01:00]
Source [urn:wisebed:unigetestbed:0x96e5], Text [Send::0x96e5::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.409+01:00]
Source [urn:wisebed:unigetestbed:0x1b84], Text [Send::0x1b84::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.547+01:00]
Source [urn:wisebed:unigetestbed:0x1b95], Text [Send::0x1b95::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.430+01:00]
Source [urn:wisebed:unigetestbed:0x1cb9], Text [Send::0x1cb9::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.588+01:00]
Source [urn:wisebed:unigetestbed:0x9700], Text [Send::0x9700::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.444+01:00]
Source [urn:wisebed:unigetestbed:0x96f4], Text [Send::0x96f4::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.480+01:00]
Source [urn:wisebed:unigetestbed:0x9a0c], Text [Send::0x9a0c::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.572+01:00]
Source [urn:wisebed:unigetestbed:0x99bd], Text [Send::0x99bd::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.497+01:00]
Source [urn:wisebed:unigetestbed:0x96c2], Text [Send::0x96c2::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.497+01:00]
