Source [urn:wisebed:ctitestbed:0x9979], Text [*B*], Level [DEBUG], Time [2011-09-08T15:56:32.505+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SS;4;1], Level [DEBUG], Time [2011-09-08T15:56:37.506+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SS;4;2], Level [DEBUG], Time [2011-09-08T15:56:37.690+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SS;4;1], Level [DEBUG], Time [2011-09-08T15:56:37.838+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SS;4;1], Level [DEBUG], Time [2011-09-08T15:56:37.976+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SS;210;120], Level [DEBUG], Time [2011-09-08T15:56:38.507+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SS;210;110], Level [DEBUG], Time [2011-09-08T15:56:38.690+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SS;210;120], Level [DEBUG], Time [2011-09-08T15:56:38.838+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SS;211;34], Level [DEBUG], Time [2011-09-08T15:56:38.838+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SS;210;110], Level [DEBUG], Time [2011-09-08T15:56:38.977+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SS;211;34], Level [DEBUG], Time [2011-09-08T15:56:39.507+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SS;211;30], Level [DEBUG], Time [2011-09-08T15:56:39.691+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SS;211;30], Level [DEBUG], Time [2011-09-08T15:56:39.977+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [ON], Level [DEBUG], Time [2011-09-08T15:56:40.978+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [ON], Level [DEBUG], Time [2011-09-08T15:56:41.508+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [ON], Level [DEBUG], Time [2011-09-08T15:56:41.691+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [ON], Level [DEBUG], Time [2011-09-08T15:56:41.839+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [CLS;0x9979;45;0xffff], Level [DEBUG], Time [2011-09-08T15:56:46.509+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [CLS;0x1cde;45;0xffff], Level [DEBUG], Time [2011-09-08T15:56:46.691+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [CLS;0xcaa;45;0xffff], Level [DEBUG], Time [2011-09-08T15:56:46.839+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [CLS;0x153d;45;0xffff], Level [DEBUG], Time [2011-09-08T15:56:46.979+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [CLP;0x1cde;2;0x1cde], Level [DEBUG], Time [2011-09-08T15:56:48.692+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [CLS;0x1cde;43;0xffff], Level [DEBUG], Time [2011-09-08T15:56:48.692+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [CLP;0xcaa;2;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [CLS;0xcaa;43;0xffff], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 210|110 statement from 0x153d], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 210|120 statement from 0x9979], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 211|34 statement from 0x9979], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 211|30 statement from 0x153d], Level [DEBUG], Time [2011-09-08T15:56:48.840+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [CLS;0x153d;44;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:48.979+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [CLP;0x153d;1;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:48.979+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [CLS;0x153d;43;0xffff], Level [DEBUG], Time [2011-09-08T15:56:48.980+03:00]
