Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB_BIDI;0x1bc4;Time;9; Node ;0x7b99; has ;2; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.089+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x14e7;Time;9; Node ;0x997b; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.092+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB;0xc9b;Time;9; Node ;0x57b; has ;2; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.098+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB_BIDI;0xc9b;Time;9; Node ;0x57b; has ;2; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.098+02:00]
Source [urn:wisebed:ctitestbed:0x6666], Text [NEW_NB_BIDI;0xa41c;Time;9; Node ;0x6666; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.097+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB_BIDI;0x997b;Time;9; Node ;0x14e7; has ;2; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.107+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB_BIDI;0x1bc4;Time;9; Node ;0x6699; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.093+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB;0x7b99;Time;9; Node ;0x6699; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.096+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB_BIDI;0xcb1;Time;9; Node ;0xc9b; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:47.722+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB;0xcb1;Time;9; Node ;0x1ccd; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.112+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB_BIDI;0xcb1;Time;9; Node ;0x1ccd; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:49.115+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB;0x6699;Time;9; Node ;0x7b99; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.115+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB_BIDI;0x6699;Time;9; Node ;0x7b99; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:49.118+02:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [NEW_NB_BIDI;0x153d;Time;12; Node ;0x1cde; has ;2; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:52.081+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB_BIDI;0x1ccd;Time;12; Node ;0xcb1; has ;3; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:52.089+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB_BIDI;0xa41c;Time;12; Node ;0x1cd0; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:50.707+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB_BIDI;0x7b99;Time;12; Node ;0x6699; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:52.094+02:00]
